"time_period";"geo_id";"geographic_level";"age";"age_class";"sex";"obs_value";"pop_obs_value";"pop_age_obs_value";"ratio"
"2021";"1003";"Berdorf";"Y25T29";"From 25 to 29 years";"Total";"142";"1983";"142";"7.2"
"2021";"501";"Clervaux";"Y_LT15";"Less than 15 years";"Total";"961";"5751";"961";"16.7"
"2021";"808";"Winseler";"Y15T19";"From 15 to 19 years";"Total";"85";"1420";"85";"6.0"
"2021";"203";"Dudelange";"Y50T64";"From 50 to 64 years";"Total";"4634";"21568";"4634";"21.5"
"2021";"702";"Preizerdaul";"Y65T69";"From 65 to 69 years";"Total";"97";"1764";"97";"5.5"
"2021";"609";"Schieren";"Y95T99";"From 95 to 99 years";"Total";"1";"2113";"1";"0.0"
"2021";"604";"Erpeldange-sur-Sûre";"Y65T84";"From 65 to 84 years";"Male";"195";"2435";"406";"48.0"
"2021";"406";"Larochette";"Y80T84";"From 80 to 84 years";"Male";"15";"2206";"31";"48.4"
"2021";"302";"Contern";"Y45T49";"From 45 to 49 years";"Total";"288";"4154";"288";"6.9"
"2021";"410";"Nommern";"Y30T49";"From 30 to 49 years";"Female";"199";"1446";"393";"50.6"
"2021";"105";"Kehlen";"Y90T94";"From 90 to 94 years";"Male";"5";"6168";"28";"17.9"
"2021";"1102";"Biwer";"Y25T29";"From 25 to 29 years";"Female";"41";"1894";"108";"38.0"
"2021";"1106";"Manternach";"Y_GE100";"100 years or over";"Male";"0";"2232";"1";"0.0"
"2021";"201";"Bettembourg";"Y30T49";"From 30 to 49 years";"Total";"3323";"11406";"3323";"29.1"
"2021";"703";"Ell";"Y_LT5";"Less than 5 years";"Male";"36";"1547";"67";"53.7"
"2021";"401";"Colmar-Berg";"Y65T69";"From 65 to 69 years";"Total";"104";"2271";"104";"4.6"
"2021";"203";"Dudelange";"Y25T29";"From 25 to 29 years";"Female";"727";"21568";"1504";"48.3"
"2021";"5";"Canton Clervaux";"Y30T49";"From 30 to 49 years";"Female";"2642";"19944";"5375";"49.2"
"2021";"807";"Wiltz";"Y75T79";"From 75 to 79 years";"Total";"183";"7697";"183";"2.4"
"2021";"1008";"Waldbillig";"Y35T39";"From 35 to 39 years";"Total";"159";"1908";"159";"8.3"
"2021";"201";"Bettembourg";"Y55T59";"From 55 to 59 years";"Male";"392";"11406";"766";"51.2"
"2021";"105";"Kehlen";"Y55T59";"From 55 to 59 years";"Total";"438";"6168";"438";"7.1"
"2021";"305";"Niederanven";"Y90T94";"From 90 to 94 years";"Total";"60";"6442";"60";"0.9"
"2021";"902";"Putscheid";"Y40T44";"From 40 to 44 years";"Total";"92";"1127";"92";"8.2"
"2021";"605";"Ettelbruck";"Y25T29";"From 25 to 29 years";"Female";"363";"9353";"740";"49.1"
